product_name,label
BEEF CURRYRICE,FOOD
RB. AI-AI CHOCO,FOOD
NASI LIWET,FOOD
BAKWAN JAGUNG,FOOD
Ice Orange,DRINK
RENDANG OMURICE,FOOD
Lasagna,FOOD
Astor Stick Cokelat 40gr,FOOD
MARBLED SIRLOIN STEAK 200gr,FOOD
HAI CMP SPC,FOOD
MDSE ST,OTHER
Polo 1,OTHER
MARMER CAKE PTG,FOOD
MS SWISS ML MED,FOOD
1025-Roti Sosis Sapi,FOOD
OYONG 3 TELOR =*MEDIUM*=,FOOD
ROTI MAHKOTA/RING,FOOD
RE5 M LW,OTHER
AMBUSH CHS BUR,FOOD
Gypsy Gelato Ice Tea,DRINK
Lapchiong,FOOD
GARPU MAKAN,OTHER
Tahu Isi,FOOD
1019-Choco Banana,FOOD
Mie Trsi Kgkung,FOOD
KWETIAW SIRAM SEA,FOOD
Ayam goreng+Sayur asem,FOOD
A13.MIE ACP,FOOD
RTD Lemongrass Aloe,DRINK
Mozarella Hot Dog,FOOD
JYO HARAMI 30%,FOOD
Nasi Liwet,FOOD
Ice Tea Rasp,DRINK
Iced Tea,DRINK
MOKDENGSIM,FOOD
Fruit Compliment,FOOD
SB 1 HC,OTHER
PIS COK KEJU,FOOD
UP Orange 16,DRINK
"Bakery Aneka Sisir Banana,Pizza,yoko,Mar mer,Daging,abon,keju,cokelat,dll",FOOD
SPOOKY SOBORO,FOOD
TOBIKO TOFU,FOOD
RTD Kunyit,DRINK
GRILLED SALMON TERIYAK,FOOD
CH CORDON BLEU NASI,FOOD
RED BEAN BRAIDED BREAD,FOOD
KITSUNE UDON (KIDS),FOOD
TORI NASU HASAMI AGE,FOOD
PLASTIC BAG,OTHER
SUP JGG KPT,FOOD
AQUA,DRINK
Paddle Pop Choco Magma,FOOD
Jamur Crispy,FOOD
DN. LONG JOHN,FOOD
PUDING,FOOD
[MD] SOFT STEAMED CHOCOCAKE,FOOD
KING DEAL CHEESE BG,FOOD
Bogo (5) Boneless,FOOD
Sambal Kecil,FOOD
1032-Double Cheddar,FOOD
OCHA COLD,DRINK
=*MEDIUM*=,OTHER
PHILLY CHEESESTEAK SL,FOOD
beef C roll 3pcs,FOOD
Strawberry jc,DRINK
Cappucino,DRINK
Kailan 2 Rasa,FOOD
BOKKEPOOTJES,FOOD
CHOCOLATE SUNDAE,FOOD
SC/P SUPER SUPREME,FOOD
BLACKPINK,DRINK
CT12.BLK JELY KPI IC,DRINK
KWE GR CMP,FOOD
101.NS BEBEK KAMPUNG,FOOD
WHDP JR 15K,FOOD
BANANA KISMIS,FOOD
RB. COKLAT BUN,FOOD
ES BATU,DRINK
-Plastic Big Small,OTHER
SAM DA S00 MINERAL WATER,DRINK
Dendeng PDS,FOOD
GULAI HATI,FOOD
JAJANGMYEON,FOOD
Siomay Kmbinasi,FOOD
XXI Java Tea Spc,DRINK
1 PC CHOCHICKS,FOOD
YAMIN PANGSIT REBUS,FOOD
HAZELNUT,FOOD
SB 1 OR,OTHER
Green Tea cold,DRINK
I ROA GORENG SPC,FOOD
caisim special,FOOD
JAPANEESE GR TEA HOT,DRINK
Mie Sup WT (U & A),FOOD
1037-ROTI MAHKOTA/RING,FOOD
Zurich Geschnitzel,FOOD
CRYSANTNUM,DRINK
WHITE RICE,FOOD
Croque Mme.,FOOD
50% CHICKEN ROYAL,FOOD
Tahu Woku,FOOD
GREEN ITSODA PITCHER,DRINK
PLASTIK TENTENG KECIL,OTHER
1006-Roti Molen,FOOD
BUGIS,FOOD
RICHOCO WFR CH P1,FOOD
ROTI UNYIL,FOOD
AQUA AIR MINERAL 600,DRINK
DONATCOKLAT,FOOD
ROBA - SPICY KAWA SKEWER KULIT,FOOD
SURIMI,FOOD
Es Batu,DRINK
Nasi,FOOD
Tempe,FOOD
Sabun Transparant Madu,OTHER
SUSHI SALMON FRESH PAKET,FOOD
MIE + AYAM KATSU TERI...,FOOD
TP KULIT,FOOD
Crispy Egg Corn,FOOD
1009-ROTI KELAPA,FOOD
MITU S/C BLUE,OTHER
NASI CAH JAMUR,FOOD
CHOCO CUSTARD PASTRY,FOOD
OPEN DESSERT,FOOD
INARI,FOOD
1009-Honey Pistachio,FOOD
Lemon Tea (L),DRINK
KUE CUBIT OVO/ SKIPPY,FOOD
Iced Sugar Cane,DRINK
LIMAU KASTURI,DRINK
PEPPERONI,FOOD
LUMPIA UDG PREM,FOOD
GERRY SM CHEESE110,FOOD
TRIPPLE CHEESE,FOOD
TEH PUCUK,DRINK
Silky Hazelnut,DRINK
IFUMIE,FOOD
kaya bred,FOOD
S-Ovaltine Macchiat,DRINK
RB. COKLAT COFFEE,FOOD
7 UP CAN 330 ML,DRINK
ICED CAPPUCINO JELLY,DRINK
CLASSIC CREAMCEESE CINNAM,FOOD
XLB Org Pork 6x,FOOD
CHOCO CUS ARD PASTRY,FOOD
CHEESE GAMJAJEON,FOOD
KING DEAL FISH,FOOD
Sio May Kpting,FOOD
TAHU,FOOD
GANACHE MOUSSE PIECE,FOOD
SENDOK MAKAN,OTHER
GREEN BEAN KAKIAGE,FOOD
KOROKE ORI,FOOD
EL KEUN HWANGTAE SUNDUBU (TUKBEGI),FOOD
AMBUSH DBL CHS,FOOD
Chili Pepper Croquette,FOOD
Benedict Burrito,FOOD
Lamien Aym Ktsu,FOOD
Nasi (MLY),FOOD
N Aym Hainam Jl,FOOD
CHAM KKOT SAL,FOOD
ORIGINAL,OTHER
SPICY C CHEESE,FOOD
PILLOW DURIAN,FOOD
Popcorn Salt (S).,FOOD
OCHA,DRINK
ROTI KEJU COKLAT,FOOD
FlyDark 0.3,DRINK
[MD] SOFT STEAMED CHOCOCA,FOOD
ALMOND CREAM CHEESE,FOOD
Jeruk Panas,DRINK
Ocha Hot,DRINK
XLB Kptg&Aym(4),FOOD
DODOT KAKEK,DRINK
DOUBLE CHEESE PAN BREAD(L,FOOD
APPLE CINN,FOOD
(TA) NASI GRG TERI MEDAN,FOOD
Peach Iced Tea,DRINK
